dataset,model_name,preprocessing_mode,inversion,normalization_strategy,probe_type,regressor_type,activity,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm,n_windows,n_participants
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,adaptation,2.0479141023038943,2.677318560026681,1.7150007095142854,5.32643475667072,0.0,740,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,adaptation,2.2054344916092496,2.9038161636454562,1.8003273321999984,6.22553286566099,0.0,740,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,adaptation,2.2646771675125277,3.041065445556663,1.7113671790977705,5.731048094140777,0.0,740,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,screen-reading,2.282246968587974,3.446451525573152,1.5873847315239118,6.170729153866117,0.002336448598130841,428,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,adaptation,2.2886214131066014,3.092852095214343,1.7336310599956803,6.301842169006408,0.0,740,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,baseline,2.3556725745534144,4.562676722917276,1.552701305600003,6.487943003268572,0.0117096018735363,427,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,mobile-typing,2.6108972786049667,4.035275498269556,1.8547959724529477,7.204798816132622,0.009302325581395349,430,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,baseline,2.6900179085786586,4.8671593693018185,1.829268292699993,7.204761474861814,0.0117096018735363,427,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,baseline,2.7278766081977186,3.7714762773543495,2.0716072583567,7.617867731971004,0.0,427,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,ssst-prep,2.8014726986383462,3.7355777691055887,2.2330139497499957,8.493007087038386,0.0,54,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,baseline,2.8096822403607664,3.928374111139877,2.001240951204835,8.657112911189934,0.0,427,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,meditation-1,2.9376176320958063,4.893436155211038,1.9210618232285697,8.796687746764523,0.012244897959183673,735,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,screen-reading,3.1300843726276644,4.6821679706999255,1.9143765039235277,9.848167303059286,0.002336448598130841,428,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,meditation-1,3.172215027867723,4.085560149934611,2.6574278599765364,7.888120995562205,0.0,735,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,meditation-1,3.249294601339029,4.169299829846158,2.7032438534990746,7.93568008258227,0.0,735,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,rest-1,3.266051505657107,4.883619334453905,1.9262520638478264,9.609213885746655,0.014336917562724014,279,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,meditation-1,3.2886069511791134,5.056374811594116,2.1269714712529435,9.926030315486841,0.010884353741496598,735,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,screen-reading,3.311220963032446,4.217798000435041,2.831955508783782,8.32716956105028,0.0,428,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,screen-reading,3.467088791112205,4.437856513252255,2.904565742151174,9.035856845985887,0.002336448598130841,428,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,rest-1,3.5080249631573523,4.982460597317533,2.240730876599997,10.037530230310212,0.0,279,5
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,ssst-prep,3.5310694877982507,5.074487150731359,2.432411738500001,11.211188277714514,0.0,54,5
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,rest-2,3.545127868785767,6.31417986936295,1.9210618232285697,12.303633734925533,0.028070175438596492,285,5
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,rest-1,3.566914274315455,4.307038003726884,3.4556158650527635,7.856926267576894,0.0,279,5
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,adaptation,3.631592484391439,4.702563411407439,2.9649474105089766,9.141267640289826,0.002702702702702703,740,5
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,adaptation,3.6337993044735093,4.706541026267899,2.955862780252737,9.120217647965257,0.002702702702702703,740,5
