feature_set,fold,heldout_participant,feature,coefficient,abs_coefficient
motion_only,1,P04,acc_norm_mean,-0.0690948472359193,0.0690948472359193
motion_only,1,P04,acc_norm_std,0.2920870700150889,0.2920870700150889
motion_only,1,P04,acc_dominant_frequency_hz,-0.024137978121307344,0.024137978121307344
motion_only,1,P04,acc_cadence_band_power_fraction,0.036997341186501005,0.036997341186501005
motion_only,2,P07,acc_norm_mean,-0.10458436784622756,0.10458436784622756
motion_only,2,P07,acc_norm_std,0.3066711307825617,0.3066711307825617
motion_only,2,P07,acc_dominant_frequency_hz,0.004677279767313722,0.004677279767313722
motion_only,2,P07,acc_cadence_band_power_fraction,0.07516718293630584,0.07516718293630584
motion_only,3,P16,acc_norm_mean,-0.08164604292401438,0.08164604292401438
motion_only,3,P16,acc_norm_std,0.23470120207289985,0.23470120207289985
motion_only,3,P16,acc_dominant_frequency_hz,-0.04125231033511062,0.04125231033511062
motion_only,3,P16,acc_cadence_band_power_fraction,0.016367791957806556,0.016367791957806556
motion_only,4,P17,acc_norm_mean,0.19593832351106327,0.19593832351106327
motion_only,4,P17,acc_norm_std,0.008580774930161662,0.008580774930161662
motion_only,4,P17,acc_dominant_frequency_hz,-0.017087155846112985,0.017087155846112985
motion_only,4,P17,acc_cadence_band_power_fraction,0.02045865119474162,0.02045865119474162
motion_only,5,P18,acc_norm_mean,0.06021146792202605,0.06021146792202605
motion_only,5,P18,acc_norm_std,0.09413764750618411,0.09413764750618411
motion_only,5,P18,acc_dominant_frequency_hz,-0.005843331605486243,0.005843331605486243
motion_only,5,P18,acc_cadence_band_power_fraction,0.0847766059952738,0.0847766059952738
quality_only,1,P04,ppg_amplitude_range,0.34141401254003095,0.34141401254003095
quality_only,1,P04,ppg_clipping_rate,-0.01823788781594731,0.01823788781594731
quality_only,1,P04,ppg_flatline_rate,0.11188825482673022,0.11188825482673022
quality_only,1,P04,ppg_autocorr_peak_strength,-0.08915455044810665,0.08915455044810665
quality_only,1,P04,ppg_spectral_entropy,-0.0902087189123272,0.0902087189123272
quality_only,1,P04,ppg_spectral_peak_sharpness,0.04586184266857288,0.04586184266857288
quality_only,1,P04,beat_count_consistency,0.03940739127876833,0.03940739127876833
quality_only,1,P04,peak_spectral_disagreement_bpm,-0.20732500277497784,0.20732500277497784
quality_only,2,P07,ppg_amplitude_range,0.4383464542908211,0.4383464542908211
quality_only,2,P07,ppg_clipping_rate,-0.002203709871418483,0.002203709871418483
quality_only,2,P07,ppg_flatline_rate,0.020457522114864145,0.020457522114864145
quality_only,2,P07,ppg_autocorr_peak_strength,0.0004802043660617174,0.0004802043660617174
quality_only,2,P07,ppg_spectral_entropy,-0.008896973276718765,0.008896973276718765
quality_only,2,P07,ppg_spectral_peak_sharpness,0.0051725781960452015,0.0051725781960452015
quality_only,2,P07,beat_count_consistency,0.15969706361392486,0.15969706361392486
quality_only,2,P07,peak_spectral_disagreement_bpm,-0.37435453216062486,0.37435453216062486
quality_only,3,P16,ppg_amplitude_range,0.27655068371042857,0.27655068371042857
quality_only,3,P16,ppg_clipping_rate,0.0026033818936274417,0.0026033818936274417
quality_only,3,P16,ppg_flatline_rate,0.07518494741254021,0.07518494741254021
quality_only,3,P16,ppg_autocorr_peak_strength,-0.023875514302932086,0.023875514302932086
quality_only,3,P16,ppg_spectral_entropy,-0.0916271587203508,0.0916271587203508
quality_only,3,P16,ppg_spectral_peak_sharpness,0.043718946906800685,0.043718946906800685
quality_only,3,P16,beat_count_consistency,-0.03187854235596067,0.03187854235596067
quality_only,3,P16,peak_spectral_disagreement_bpm,-0.16152187325939926,0.16152187325939926
quality_only,4,P17,ppg_amplitude_range,0.3669261350906373,0.3669261350906373
quality_only,4,P17,ppg_clipping_rate,-0.0004174986938238203,0.0004174986938238203
quality_only,4,P17,ppg_flatline_rate,0.04137515263271321,0.04137515263271321
quality_only,4,P17,ppg_autocorr_peak_strength,-0.09630316953630604,0.09630316953630604
quality_only,4,P17,ppg_spectral_entropy,-0.1378620800906484,0.1378620800906484
quality_only,4,P17,ppg_spectral_peak_sharpness,0.09120703554947451,0.09120703554947451
quality_only,4,P17,beat_count_consistency,0.022741196165077648,0.022741196165077648
quality_only,4,P17,peak_spectral_disagreement_bpm,-0.20436627348230574,0.20436627348230574
quality_only,5,P18,ppg_amplitude_range,0.291784220975632,0.291784220975632
quality_only,5,P18,ppg_clipping_rate,-0.022397832273880702,0.022397832273880702
quality_only,5,P18,ppg_flatline_rate,0.06692202174003196,0.06692202174003196
quality_only,5,P18,ppg_autocorr_peak_strength,-0.0016388888052346463,0.0016388888052346463
quality_only,5,P18,ppg_spectral_entropy,0.13443958437887268,0.13443958437887268
quality_only,5,P18,ppg_spectral_peak_sharpness,0.06238042471813781,0.06238042471813781
quality_only,5,P18,beat_count_consistency,0.049582822384372116,0.049582822384372116
quality_only,5,P18,peak_spectral_disagreement_bpm,-0.3634938809321456,0.3634938809321456
motion_quality,1,P04,acc_norm_mean,-0.03478706534843627,0.03478706534843627
motion_quality,1,P04,acc_norm_std,0.3047090494798432,0.3047090494798432
motion_quality,1,P04,acc_dominant_frequency_hz,-0.0033635501935893406,0.0033635501935893406
motion_quality,1,P04,acc_cadence_band_power_fraction,0.027579869164666086,0.027579869164666086
motion_quality,1,P04,ppg_amplitude_range,0.26365146095521286,0.26365146095521286
motion_quality,1,P04,ppg_clipping_rate,-0.02115536630776966,0.02115536630776966
motion_quality,1,P04,ppg_flatline_rate,0.11293819641979072,0.11293819641979072
motion_quality,1,P04,ppg_autocorr_peak_strength,-0.14705443558743353,0.14705443558743353
motion_quality,1,P04,ppg_spectral_entropy,-0.2167604476559738,0.2167604476559738
motion_quality,1,P04,ppg_spectral_peak_sharpness,0.05954327273269459,0.05954327273269459
motion_quality,1,P04,beat_count_consistency,-0.058005095647581315,0.058005095647581315
motion_quality,1,P04,peak_spectral_disagreement_bpm,-0.13754234559898165,0.13754234559898165
motion_quality,2,P07,acc_norm_mean,-0.13302600381833532,0.13302600381833532
motion_quality,2,P07,acc_norm_std,0.33720135124914646,0.33720135124914646
motion_quality,2,P07,acc_dominant_frequency_hz,0.024164954291308084,0.024164954291308084
motion_quality,2,P07,acc_cadence_band_power_fraction,0.06020482246750096,0.06020482246750096
motion_quality,2,P07,ppg_amplitude_range,0.35063985736388,0.35063985736388
motion_quality,2,P07,ppg_clipping_rate,-0.006740514099822846,0.006740514099822846
motion_quality,2,P07,ppg_flatline_rate,0.02254368349996292,0.02254368349996292
motion_quality,2,P07,ppg_autocorr_peak_strength,-0.04574402766206678,0.04574402766206678
motion_quality,2,P07,ppg_spectral_entropy,-0.13026247851600806,0.13026247851600806
motion_quality,2,P07,ppg_spectral_peak_sharpness,0.019349553219029234,0.019349553219029234
motion_quality,2,P07,beat_count_consistency,0.05868236485597849,0.05868236485597849
motion_quality,2,P07,peak_spectral_disagreement_bpm,-0.29702438277624,0.29702438277624
motion_quality,3,P16,acc_norm_mean,-0.05227855507010212,0.05227855507010212
motion_quality,3,P16,acc_norm_std,0.24964070277835493,0.24964070277835493
motion_quality,3,P16,acc_dominant_frequency_hz,-0.027515089736212486,0.027515089736212486
motion_quality,3,P16,acc_cadence_band_power_fraction,0.04430950347216071,0.04430950347216071
motion_quality,3,P16,ppg_amplitude_range,0.16095393635773722,0.16095393635773722
motion_quality,3,P16,ppg_clipping_rate,0.0013924717769368327,0.0013924717769368327
motion_quality,3,P16,ppg_flatline_rate,0.07453977701191526,0.07453977701191526
motion_quality,3,P16,ppg_autocorr_peak_strength,-0.07099046469099607,0.07099046469099607
motion_quality,3,P16,ppg_spectral_entropy,-0.2180501635826324,0.2180501635826324
motion_quality,3,P16,ppg_spectral_peak_sharpness,0.06377319880448151,0.06377319880448151
motion_quality,3,P16,beat_count_consistency,-0.10419416843597855,0.10419416843597855
motion_quality,3,P16,peak_spectral_disagreement_bpm,-0.08653930747890444,0.08653930747890444
motion_quality,4,P17,acc_norm_mean,0.22261240531858015,0.22261240531858015
motion_quality,4,P17,acc_norm_std,0.05126675894399449,0.05126675894399449
motion_quality,4,P17,acc_dominant_frequency_hz,0.0050843391971180695,0.0050843391971180695
motion_quality,4,P17,acc_cadence_band_power_fraction,0.028548131595282102,0.028548131595282102
motion_quality,4,P17,ppg_amplitude_range,0.29137214399823497,0.29137214399823497
motion_quality,4,P17,ppg_clipping_rate,-0.005490476134774124,0.005490476134774124
motion_quality,4,P17,ppg_flatline_rate,0.045884271387318425,0.045884271387318425
motion_quality,4,P17,ppg_autocorr_peak_strength,-0.1425429291502874,0.1425429291502874
motion_quality,4,P17,ppg_spectral_entropy,-0.2726535575412651,0.2726535575412651
motion_quality,4,P17,ppg_spectral_peak_sharpness,0.09736069200425444,0.09736069200425444
motion_quality,4,P17,beat_count_consistency,-0.08009242344004958,0.08009242344004958
motion_quality,4,P17,peak_spectral_disagreement_bpm,-0.143523755136738,0.143523755136738
