feature_set,fold,window_key,participant_id,heldout_participant,split_role
motion_only,1,P04|P04:adaptation#1|1710832260221|1710832270221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832262221|1710832272221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832264221|1710832274221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832266221|1710832276221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832268221|1710832278221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832270221|1710832280221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832272221|1710832282221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832274221|1710832284221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832276221|1710832286221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832278221|1710832288221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832280221|1710832290221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832282221|1710832292221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832284221|1710832294221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832286221|1710832296221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832288221|1710832298221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832290221|1710832300221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832292221|1710832302221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832294221|1710832304221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832296221|1710832306221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832298221|1710832308221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832300221|1710832310221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832302221|1710832312221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832304221|1710832314221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832306221|1710832316221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832308221|1710832318221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832310221|1710832320221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832312221|1710832322221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832314221|1710832324221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832316221|1710832326221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832318221|1710832328221,P04,P04,test
