window_uid,split,participant_id,session_id,session_name,window_index,window_start_ms,window_end_ms,window_length_s,stride_s,ppg_sampling_hz,ppg_sample_count,reference_sample_count,label_hr_bpm,label_aggregation,reference_source
P02:adaptation#1:w0,train,P02,P02:adaptation#1,adaptation,0,1710812041683,1710812051683,10,2,25,250,10,84.0,median,hr
P02:adaptation#1:w1,train,P02,P02:adaptation#1,adaptation,1,1710812043683,1710812053683,10,2,25,250,10,84.0,median,hr
P02:adaptation#1:w2,train,P02,P02:adaptation#1,adaptation,2,1710812045683,1710812055683,10,2,25,249,10,83.0,median,hr
P02:adaptation#1:w3,train,P02,P02:adaptation#1,adaptation,3,1710812047683,1710812057683,10,2,25,249,10,83.0,median,hr
P02:adaptation#1:w4,train,P02,P02:adaptation#1,adaptation,4,1710812049683,1710812059683,10,2,25,249,10,82.5,median,hr
P02:adaptation#1:w5,train,P02,P02:adaptation#1,adaptation,5,1710812051683,1710812061683,10,2,25,249,10,82.0,median,hr
P02:adaptation#1:w6,train,P02,P02:adaptation#1,adaptation,6,1710812053683,1710812063683,10,2,25,249,10,81.5,median,hr
P02:adaptation#1:w7,train,P02,P02:adaptation#1,adaptation,7,1710812055683,1710812065683,10,2,25,250,10,80.5,median,hr
P02:adaptation#1:w8,train,P02,P02:adaptation#1,adaptation,8,1710812057683,1710812067683,10,2,25,250,10,79.0,median,hr
P02:adaptation#1:w9,train,P02,P02:adaptation#1,adaptation,9,1710812059683,1710812069683,10,2,25,250,10,79.0,median,hr
P02:adaptation#1:w10,train,P02,P02:adaptation#1,adaptation,10,1710812061683,1710812071683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w11,train,P02,P02:adaptation#1,adaptation,11,1710812063683,1710812073683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w12,train,P02,P02:adaptation#1,adaptation,12,1710812065683,1710812075683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w13,train,P02,P02:adaptation#1,adaptation,13,1710812067683,1710812077683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w14,train,P02,P02:adaptation#1,adaptation,14,1710812069683,1710812079683,10,2,25,249,10,78.5,median,hr
P02:adaptation#1:w15,train,P02,P02:adaptation#1,adaptation,15,1710812071683,1710812081683,10,2,25,250,10,78.0,median,hr
P02:adaptation#1:w16,train,P02,P02:adaptation#1,adaptation,16,1710812073683,1710812083683,10,2,25,250,10,77.0,median,hr
P02:adaptation#1:w17,train,P02,P02:adaptation#1,adaptation,17,1710812075683,1710812085683,10,2,25,249,10,76.0,median,hr
P02:adaptation#1:w18,train,P02,P02:adaptation#1,adaptation,18,1710812077683,1710812087683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w19,train,P02,P02:adaptation#1,adaptation,19,1710812079683,1710812089683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w20,train,P02,P02:adaptation#1,adaptation,20,1710812081683,1710812091683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w21,train,P02,P02:adaptation#1,adaptation,21,1710812083683,1710812093683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w22,train,P02,P02:adaptation#1,adaptation,22,1710812085683,1710812095683,10,2,25,250,10,75.5,median,hr
P02:adaptation#1:w23,train,P02,P02:adaptation#1,adaptation,23,1710812087683,1710812097683,10,2,25,250,10,76.0,median,hr
P02:adaptation#1:w24,train,P02,P02:adaptation#1,adaptation,24,1710812089683,1710812099683,10,2,25,250,10,75.5,median,hr
P02:adaptation#1:w25,train,P02,P02:adaptation#1,adaptation,25,1710812091683,1710812101683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w26,train,P02,P02:adaptation#1,adaptation,26,1710812093683,1710812103683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w27,train,P02,P02:adaptation#1,adaptation,27,1710812095683,1710812105683,10,2,25,249,10,74.0,median,hr
P02:adaptation#1:w28,train,P02,P02:adaptation#1,adaptation,28,1710812097683,1710812107683,10,2,25,249,10,73.0,median,hr
P02:adaptation#1:w29,train,P02,P02:adaptation#1,adaptation,29,1710812099683,1710812109683,10,2,25,249,10,73.0,median,hr
P02:adaptation#1:w30,train,P02,P02:adaptation#1,adaptation,30,1710812101683,1710812111683,10,2,25,250,10,73.0,median,hr
P02:adaptation#1:w31,train,P02,P02:adaptation#1,adaptation,31,1710812103683,1710812113683,10,2,25,250,10,73.0,median,hr
P02:adaptation#1:w32,train,P02,P02:adaptation#1,adaptation,32,1710812105683,1710812115683,10,2,25,249,10,73.0,median,hr
P02:adaptation#1:w33,train,P02,P02:adaptation#1,adaptation,33,1710812107683,1710812117683,10,2,25,249,10,73.5,median,hr
P02:adaptation#1:w34,train,P02,P02:adaptation#1,adaptation,34,1710812109683,1710812119683,10,2,25,249,10,74.0,median,hr
P02:adaptation#1:w35,train,P02,P02:adaptation#1,adaptation,35,1710812111683,1710812121683,10,2,25,249,10,74.0,median,hr
P02:adaptation#1:w36,train,P02,P02:adaptation#1,adaptation,36,1710812113683,1710812123683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w37,train,P02,P02:adaptation#1,adaptation,37,1710812115683,1710812125683,10,2,25,250,10,75.0,median,hr
P02:adaptation#1:w38,train,P02,P02:adaptation#1,adaptation,38,1710812117683,1710812127683,10,2,25,250,10,75.0,median,hr
P02:adaptation#1:w39,train,P02,P02:adaptation#1,adaptation,39,1710812119683,1710812129683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w40,train,P02,P02:adaptation#1,adaptation,40,1710812121683,1710812131683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w41,train,P02,P02:adaptation#1,adaptation,41,1710812123683,1710812133683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w42,train,P02,P02:adaptation#1,adaptation,42,1710812125683,1710812135683,10,2,25,249,10,75.5,median,hr
P02:adaptation#1:w43,train,P02,P02:adaptation#1,adaptation,43,1710812127683,1710812137683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w44,train,P02,P02:adaptation#1,adaptation,44,1710812129683,1710812139683,10,2,25,250,10,75.0,median,hr
P02:adaptation#1:w45,train,P02,P02:adaptation#1,adaptation,45,1710812131683,1710812141683,10,2,25,250,10,75.0,median,hr
P02:adaptation#1:w46,train,P02,P02:adaptation#1,adaptation,46,1710812133683,1710812143683,10,2,25,249,10,75.5,median,hr
P02:adaptation#1:w47,train,P02,P02:adaptation#1,adaptation,47,1710812135683,1710812145683,10,2,25,249,10,75.5,median,hr
P02:adaptation#1:w48,train,P02,P02:adaptation#1,adaptation,48,1710812137683,1710812147683,10,2,25,249,10,76.0,median,hr
P02:adaptation#1:w49,train,P02,P02:adaptation#1,adaptation,49,1710812139683,1710812149683,10,2,25,249,10,76.0,median,hr
P02:adaptation#1:w50,train,P02,P02:adaptation#1,adaptation,50,1710812141683,1710812151683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w51,train,P02,P02:adaptation#1,adaptation,51,1710812143683,1710812153683,10,2,25,250,10,74.0,median,hr
