dataset,model_name,preprocessing_mode,inversion,normalization_strategy,probe_type,regressor_type,participant_id,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm,n_windows,n_participants
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,P17,4.264121195660906,6.897945127907447,2.347949478903004,16.74473939293757,0.030524220305242204,1507,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,P17,4.293102252825002,6.91726265958764,2.3150864540564697,16.340318388570847,0.035169210351692105,1507,1
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,P18,4.995665680247416,11.32199036749609,1.740146438450001,26.372625006835293,0.06960408684546615,1566,1
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,P18,5.176650774616882,11.141274860470304,1.9993747791793695,25.32279667294643,0.07279693486590039,1566,1
GalaxyPPG,pulseppg,harmonized,False,per_window_zscore,ridge,ridge,P17,5.966615372306607,8.958789964579543,3.7804750324672085,19.7924552415843,0.0497677504976775,1507,1
GalaxyPPG,pulseppg,model_faithful,True,none,ridge,ridge,P17,6.250204365426745,9.069060764992496,4.177877450915631,20.151007438453355,0.051758460517584606,1507,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,ridge,ridge,P17,6.2508167825452965,9.07093126514382,4.172040964099224,20.148711753638903,0.051758460517584606,1507,1
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,ridge,ridge,P17,6.2508167825452965,9.07093126514382,4.172040964099224,20.148711753638903,0.051758460517584606,1507,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,P17,6.251355091891617,9.073653788892987,4.15889947198437,20.159652305396715,0.051758460517584606,1507,1
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,P17,6.254295996459059,9.078107478020707,4.16210068510938,20.104317069801013,0.051758460517584606,1507,1
GalaxyPPG,pulseppg,model_faithful,True,none,linear,linear,P17,6.3834837465751955,9.183321393266155,4.230767326166401,20.215295464918825,0.05242203052422031,1507,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,linear,linear,P17,6.384087391204064,9.185074112033453,4.2308527863085885,20.219754846022333,0.05242203052422031,1507,1
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,linear,linear,P17,6.384087391204064,9.185074112033453,4.2308527863085885,20.219754846022333,0.05242203052422031,1507,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,linear,linear,P17,6.38485691308354,9.18790650794809,4.236175195464838,20.12264937796257,0.05242203052422031,1507,1
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,linear,linear,P17,6.387293673819651,9.191164587607226,4.24631546429687,20.20547492451046,0.05242203052422031,1507,1
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,P17,6.776048200278643,13.854570757156452,2.0207006369000027,38.81433669714463,0.11612475116124751,1507,1
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,P17,6.962565144649454,13.811608555767164,2.1207177814000033,38.392906165941675,0.11885790172642763,1506,1
GalaxyPPG,peak_based,harmonized,False,NA,NA,classical_peak,P04,7.046934009894893,15.811070256628975,2.6548085219526314,30.074877312519174,0.07741522712731926,1563,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,P16,7.296819857959975,12.112483443599649,3.7597831973373985,27.9100706873019,0.08970099667774087,1505,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,P16,7.343828642066369,12.093892290981545,3.827250920357116,27.643168906893205,0.09169435215946845,1505,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,P07,7.3511663349247325,11.689777901548457,4.146160359763087,27.941051281450772,0.0959731543624161,1490,1
GalaxyPPG,pulseppg,harmonized,False,per_window_zscore,ridge,ridge,P18,7.400777824469704,12.522049276212709,3.7794725468070283,30.738275865512506,0.0970625798212005,1566,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,P07,7.401319505621116,11.749442432165193,4.329068862553832,27.61847306444458,0.09060402684563758,1490,1
GalaxyPPG,pulseppg,model_faithful,True,none,ridge,ridge,P18,7.431277534551543,12.06527857855298,3.826525844960159,28.77964076975703,0.10025542784163474,1566,1
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,ridge,ridge,P18,7.431395504023318,12.066971953717939,3.8423090707804697,28.72853275504629,0.10025542784163474,1566,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,ridge,ridge,P18,7.431844285214043,12.067123465167805,3.834216274647659,28.817638969219917,0.10025542784163474,1566,1
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,ridge,ridge,P18,7.431844285214043,12.067123465167805,3.834216274647659,28.817638969219917,0.10025542784163474,1566,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,ridge,ridge,P18,7.4323743011441055,12.068433324019562,3.8382352772734407,28.75171509411231,0.09961685823754789,1566,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,P18,7.441595526015931,11.486042427896487,4.116765698035447,27.835356635457668,0.0983397190293742,1566,1
GalaxyPPG,pulseppg,model_faithful,True,none,linear,linear,P18,7.453423558971006,12.042686885330541,3.9025187022738237,28.505982756099215,0.09897828863346105,1566,1
GalaxyPPG,pulseppg,model_faithful,True,person_specific_zscore,linear,linear,P18,7.453479165565668,12.043778185491163,3.902921762222263,28.540462223685154,0.09770114942528736,1566,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,linear,linear,P18,7.453973206685641,12.044241590203649,3.917909707778904,28.526524900874605,0.09897828863346105,1566,1
GalaxyPPG,pulseppg,model_faithful,True,per_window_zscore,linear,linear,P18,7.453973206685641,12.044241590203649,3.917909707778904,28.526524900874605,0.09897828863346105,1566,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,linear,linear,P18,7.45463475578094,12.045718277843402,3.9085776182757783,28.470227536598436,0.09897828863346105,1566,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,P18,7.543183981281752,11.51748113853272,4.199450640036083,27.552287051365425,0.10280970625798212,1566,1
GalaxyPPG,pulseppg,harmonized,True,per_window_zscore,NA,random_forest,P04,7.656188753572771,13.353930110811497,3.9482970164579996,27.428020902170484,0.0799744081893794,1563,1
GalaxyPPG,pulseppg,model_faithful,True,causal_running_zscore,NA,random_forest,P04,7.699312944553742,13.242731910150887,4.143240959995865,27.884173536027564,0.08253358925143954,1563,1
GalaxyPPG,papagei,harmonized,False,per_window_zscore,ridge,ridge,P17,7.972563457978005,12.357992051380535,5.2979847875757855,26.93468212538196,0.08626410086264101,1507,1
GalaxyPPG,peak_based,harmonized,True,NA,NA,classical_peak,P04,7.994091679565628,16.777067397708,3.2916392363816342,32.627097434276926,0.09404990403071017,1563,1
