activity,method,feature_set,routing_type,n_windows,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm
adaptation,learned_router,motion_only,soft_gate,740,1.8780902071196266,2.5568432495763327,1.3979942922307593,5.325961063226481,0.0
adaptation,learned_router,motion_quality,soft_gate,740,1.8968972924171026,2.5687034344528477,1.4331923304155225,5.223223441412491,0.0
adaptation,learned_router,quality_only,soft_gate,740,1.9013233956203186,2.573081146381762,1.4383127449554465,5.318386518393475,0.0
adaptation,classical_expert,NA,NA,740,2.2054344916092496,2.9038161636454562,1.8003273321999984,6.22553286566099,0.0
adaptation,learned_router,motion_only,hard_gate,740,2.212362470577215,2.9187525591767485,1.8003273321999984,6.241806555323566,0.0
adaptation,foundation_expert,NA,NA,740,2.2646771675125277,3.041065445556663,1.7113671790977705,5.731048094140777,0.0
adaptation,learned_router,motion_quality,hard_gate,740,2.2713235634296742,2.985147406987179,1.8725073061142794,6.194086558349047,0.0
adaptation,learned_router,quality_only,hard_gate,740,2.373712588731486,3.0798335324915054,1.977260958615723,6.2577272745405965,0.0
baseline,learned_router,motion_only,soft_gate,427,2.3616929770552395,3.834186100372123,1.6572440365102494,6.096885372829144,0.00936768149882904
baseline,learned_router,motion_quality,soft_gate,427,2.388031740617634,3.858577829941631,1.651158844350519,6.616960012888063,0.00936768149882904
baseline,learned_router,quality_only,soft_gate,427,2.3931412436776203,3.843211434431864,1.6856758341263713,6.602703384517392,0.00936768149882904
baseline,classical_expert,NA,NA,427,2.6900179085786586,4.8671593693018185,1.829268292699993,7.204761474861814,0.0117096018735363
baseline,learned_router,motion_only,hard_gate,427,2.699781508780763,4.867619173141533,1.829268292699993,7.567672215081063,0.0117096018735363
baseline,foundation_expert,NA,NA,427,2.7278766081977186,3.7714762773543495,2.0716072583567,7.617867731971004,0.0
baseline,learned_router,motion_quality,hard_gate,427,2.8352877344934893,4.696538316060928,1.9718584156521786,7.795555796150174,0.00936768149882904
baseline,learned_router,quality_only,hard_gate,427,2.950061438114905,4.5761818695795835,2.226455618000003,7.6686505961339755,0.00702576112412178
jogging,foundation_expert,NA,NA,280,14.368502255690421,17.917691167617917,11.612173842723358,35.19826204664641,0.26785714285714285
jogging,learned_router,motion_only,hard_gate,280,14.368502255690421,17.917691167617917,11.612173842723358,35.19826204664641,0.26785714285714285
jogging,learned_router,motion_quality,hard_gate,280,14.603488887232317,18.002863197031004,11.836922282792571,35.20584255126579,0.25357142857142856
jogging,learned_router,motion_quality,soft_gate,280,17.711069846935438,21.29332319302096,16.710409814290344,40.304683102431525,0.36428571428571427
jogging,learned_router,motion_only,soft_gate,280,18.11347372548079,21.75821544419611,17.707571307895336,40.74501325220358,0.3964285714285714
jogging,learned_router,quality_only,hard_gate,280,18.149047087653134,23.125321273628302,13.26272220014696,44.21768707486669,0.37142857142857144
